xbins=30
Q2bins=24
Ebins=1
id	x	Q2	E	Central_Value	Replica_1	Replica_2	Replica_3	Replica_4	Replica_5	Replica_6	Replica_7	Replica_8
690	28	18	0	6.265004e-04	9.967615e-05	3.826130e-05	5.424900e-05	1.664210e-05	5.662790e-05	2.283115e-05	2.486915e-05	5.478515e-05
691	28	19	0	6.320671e-04	9.856375e-05	3.769105e-05	5.315500e-05	1.638890e-05	5.582470e-05	2.247845e-05	2.456650e-05	5.444640e-05
692	28	20	0	6.370317e-04	9.740730e-05	3.709540e-05	5.208370e-05	1.614585e-05	5.500160e-05	2.215625e-05	2.424120e-05	5.411975e-05
693	28	21	0	6.413870e-04	9.624195e-05	3.656640e-05	5.101695e-05	1.587820e-05	5.424360e-05	2.182690e-05	2.392165e-05	5.364770e-05
694	28	22	0	6.450661e-04	9.507965e-05	3.606935e-05	4.996680e-05	1.559055e-05	5.352745e-05	2.149380e-05	2.362775e-05	5.310055e-05
695	28	23	0	6.483909e-04	9.388920e-05	3.550180e-05	4.890590e-05	1.529150e-05	5.275360e-05	2.115685e-05	2.336160e-05	5.262965e-05
696	29	0	0	3.383649e-04	9.211770e-05	3.626475e-05	6.064315e-05	1.630715e-05	5.893805e-05	2.807630e-05	2.395335e-05	4.228840e-05
697	29	1	0	3.735031e-04	9.633130e-05	3.788645e-05	6.254245e-05	1.705100e-05	6.095295e-05	2.863600e-05	2.492310e-05	4.511640e-05
698	29	2	0	4.046793e-04	9.959650e-05	3.915585e-05	6.381300e-05	1.761195e-05	6.231880e-05	2.885125e-05	2.565420e-05	4.750260e-05
699	29	3	0	4.306254e-04	1.020234e-04	4.015505e-05	6.457210e-05	1.801980e-05	6.310370e-05	2.872890e-05	2.617095e-05	4.946600e-05
700	29	4	0	4.522396e-04	1.039805e-04	4.105085e-05	6.507075e-05	1.836375e-05	6.354660e-05	2.836400e-05	2.655395e-05	5.115855e-05
701	29	5	0	4.719255e-04	1.053890e-04	4.167960e-05	6.523795e-05	1.861160e-05	6.373590e-05	2.794950e-05	2.680040e-05	5.254245e-05
702	29	6	0	4.913856e-04	1.062156e-04	4.195065e-05	6.504300e-05	1.872325e-05	6.372960e-05	2.761980e-05	2.692900e-05	5.359105e-05
703	29	7	0	5.091206e-04	1.067009e-04	4.211095e-05	6.466810e-05	1.871220e-05	6.352375e-05	2.724400e-05	2.701670e-05	5.438950e-05
704	29	8	0	5.251109e-04	1.069045e-04	4.217210e-05	6.413310e-05	1.863195e-05	6.316260e-05	2.680930e-05	2.704240e-05	5.498685e-05
705	29	9	0	5.401075e-04	1.068211e-04	4.204820e-05	6.340165e-05	1.855480e-05	6.272150e-05	2.636805e-05	2.694850e-05	5.543205e-05
706	29	10	0	5.537951e-04	1.064691e-04	4.177785e-05	6.253165e-05	1.845950e-05	6.219840e-05	2.594915e-05	2.676625e-05	5.574475e-05
707	29	11	0	5.664051e-04	1.059544e-04	4.147060e-05	6.163260e-05	1.830650e-05	6.159620e-05	2.557010e-05	2.657645e-05	5.599000e-05
708	29	12	0	5.777261e-04	1.052983e-04	4.112680e-05	6.068115e-05	1.810310e-05	6.094630e-05	2.520570e-05	2.638385e-05	5.609165e-05
709	29	13	0	5.880876e-04	1.045443e-04	4.073190e-05	5.962165e-05	1.787725e-05	6.029060e-05	2.480030e-05	2.617915e-05	5.597970e-05
710	29	14	0	5.973072e-04	1.036919e-04	4.027775e-05	5.852000e-05	1.764460e-05	5.961225e-05	2.438245e-05	2.595160e-05	5.576080e-05
711	29	15	0	6.058834e-04	1.027402e-04	3.976170e-05	5.746515e-05	1.741860e-05	5.885915e-05	2.399460e-05	2.568455e-05	5.565445e-05
712	29	16	0	6.136234e-04	1.017302e-04	3.923205e-05	5.643280e-05	1.718435e-05	5.808285e-05	2.362045e-05	2.540140e-05	5.553915e-05
713	29	17	0	6.204979e-04	1.007137e-04	3.874660e-05	5.535085e-05	1.691790e-05	5.735180e-05	2.322325e-05	2.513500e-05	5.521485e-05
714	29	18	0	6.265004e-04	9.967615e-05	3.826130e-05	5.424900e-05	1.664210e-05	5.662790e-05	2.283115e-05	2.486915e-05	5.478515e-05
715	29	19	0	6.320671e-04	9.856375e-05	3.769105e-05	5.315500e-05	1.638890e-05	5.582470e-05	2.247845e-05	2.456650e-05	5.444640e-05
716	29	20	0	6.370317e-04	9.740730e-05	3.709540e-05	5.208370e-05	1.614585e-05	5.500160e-05	2.215625e-05	2.424120e-05	5.411975e-05
717	29	21	0	6.413870e-04	9.624195e-05	3.656640e-05	5.101695e-05	1.587820e-05	5.424360e-05	2.182690e-05	2.392165e-05	5.364770e-05
718	29	22	0	6.450661e-04	9.507965e-05	3.606935e-05	4.996680e-05	1.559055e-05	5.352745e-05	2.149380e-05	2.362775e-05	5.310055e-05
719	29	23	0	6.483909e-04	9.388920e-05	3.550180e-05	4.890590e-05	1.529150e-05	5.275360e-05	2.115685e-05	2.336160e-05	5.262965e-05
