xbins=30
Q2bins=24
Ebins=1
id	x	Q2	E	Central_Value	Replica_1	Replica_2	Replica_3	Replica_4	Replica_5	Replica_6	Replica_7	Replica_8
27	1	3	0	2.172879e-01	1.198500e-04	4.741000e-04	9.628650e-03	4.779700e-03	1.107855e-02	1.162800e-02	7.469100e-03	2.923750e-03
28	1	4	0	2.146527e-01	1.257500e-04	4.635500e-04	9.508700e-03	4.635400e-03	1.088275e-02	1.142425e-02	7.294550e-03	2.885950e-03
29	1	5	0	2.120713e-01	1.324000e-04	4.499000e-04	9.390800e-03	4.497250e-03	1.069560e-02	1.122770e-02	7.123500e-03	2.851000e-03
30	1	6	0	2.095512e-01	1.343000e-04	4.447000e-04	9.280150e-03	4.373900e-03	1.050980e-02	1.104005e-02	6.953050e-03	2.821950e-03
31	1	7	0	2.070807e-01	1.336000e-04	4.432500e-04	9.168150e-03	4.267450e-03	1.032835e-02	1.085630e-02	6.791000e-03	2.791650e-03
32	1	8	0	2.046604e-01	1.318500e-04	4.396000e-04	9.057150e-03	4.167850e-03	1.015610e-02	1.067680e-02	6.636600e-03	2.760500e-03
33	1	9	0	2.022936e-01	1.304000e-04	4.289000e-04	8.953600e-03	4.060400e-03	9.997100e-03	1.050435e-02	6.484650e-03	2.731900e-03
34	1	10	0	2.000057e-01	1.295000e-04	4.180500e-04	8.854950e-03	3.952350e-03	9.847500e-03	1.034110e-02	6.338450e-03	2.704200e-03
35	1	11	0	1.977422e-01	1.291000e-04	4.175500e-04	8.752150e-03	3.854050e-03	9.694150e-03	1.018180e-02	6.197700e-03	2.673550e-03
36	1	12	0	1.955412e-01	1.282500e-04	4.202500e-04	8.650050e-03	3.766400e-03	9.544650e-03	1.002715e-02	6.065150e-03	2.643300e-03
37	1	13	0	1.933886e-01	1.254500e-04	4.128000e-04	8.554150e-03	3.683100e-03	9.406900e-03	9.873600e-03	5.938800e-03	2.617500e-03
38	1	14	0	1.913153e-01	1.219000e-04	3.999000e-04	8.463950e-03	3.603050e-03	9.278700e-03	9.727300e-03	5.818650e-03	2.592650e-03
39	1	15	0	1.892531e-01	1.198000e-04	3.937500e-04	8.371600e-03	3.520400e-03	9.145800e-03	9.590250e-03	5.697450e-03	2.561050e-03
40	1	16	0	1.872379e-01	1.189000e-04	3.932000e-04	8.280500e-03	3.440850e-03	9.013000e-03	9.462100e-03	5.579100e-03	2.530250e-03
41	1	17	0	1.852843e-01	1.180000e-04	3.932000e-04	8.194700e-03	3.371350e-03	8.887700e-03	9.336650e-03	5.467850e-03	2.510850e-03
42	1	18	0	1.834026e-01	1.169500e-04	3.912000e-04	8.113500e-03	3.310900e-03	8.771500e-03	9.212200e-03	5.365000e-03	2.496950e-03
43	1	19	0	1.815283e-01	1.160000e-04	3.846500e-04	8.031400e-03	3.251350e-03	8.659650e-03	9.083050e-03	5.266050e-03	2.475800e-03
44	1	20	0	1.796969e-01	1.169500e-04	3.770500e-04	7.948700e-03	3.189850e-03	8.551500e-03	8.956800e-03	5.170250e-03	2.450200e-03
45	1	21	0	1.779088e-01	1.214500e-04	3.739500e-04	7.865700e-03	3.122200e-03	8.442600e-03	8.841400e-03	5.073100e-03	2.426700e-03
46	1	22	0	1.761919e-01	1.255000e-04	3.729000e-04	7.789900e-03	3.054950e-03	8.337700e-03	8.734850e-03	4.976300e-03	2.404500e-03
47	1	23	0	1.744883e-01	1.223000e-04	3.680000e-04	7.726800e-03	2.997250e-03	8.238250e-03	8.624450e-03	4.879550e-03	2.379950e-03
48	2	0	0	2.255347e-01	1.128000e-04	4.971500e-04	1.000710e-02	5.256600e-03	1.175175e-02	1.229640e-02	8.065300e-03	3.016900e-03
49	2	1	0	2.227436e-01	1.178500e-04	4.778500e-04	9.871150e-03	5.083300e-03	1.151780e-02	1.206090e-02	7.855350e-03	2.988100e-03
50	2	2	0	2.199756e-01	1.198500e-04	4.713500e-04	9.744300e-03	4.924800e-03	1.129140e-02	1.183725e-02	7.654100e-03	2.958300e-03
51	2	3	0	2.172879e-01	1.198500e-04	4.741000e-04	9.628650e-03	4.779700e-03	1.107855e-02	1.162800e-02	7.469100e-03	2.923750e-03
52	2	4	0	2.146527e-01	1.257500e-04	4.635500e-04	9.508700e-03	4.635400e-03	1.088275e-02	1.142425e-02	7.294550e-03	2.885950e-03
53	2	5	0	2.120713e-01	1.324000e-04	4.499000e-04	9.390800e-03	4.497250e-03	1.069560e-02	1.122770e-02	7.123500e-03	2.851000e-03
54	2	6	0	2.095512e-01	1.343000e-04	4.447000e-04	9.280150e-03	4.373900e-03	1.050980e-02	1.104005e-02	6.953050e-03	2.821950e-03
55	2	7	0	2.070807e-01	1.336000e-04	4.432500e-04	9.168150e-03	4.267450e-03	1.032835e-02	1.085630e-02	6.791000e-03	2.791650e-03
56	2	8	0	2.046604e-01	1.318500e-04	4.396000e-04	9.057150e-03	4.167850e-03	1.015610e-02	1.067680e-02	6.636600e-03	2.760500e-03
57	2	9	0	2.022936e-01	1.304000e-04	4.289000e-04	8.953600e-03	4.060400e-03	9.997100e-03	1.050435e-02	6.484650e-03	2.731900e-03
58	2	10	0	2.000057e-01	1.295000e-04	4.180500e-04	8.854950e-03	3.952350e-03	9.847500e-03	1.034110e-02	6.338450e-03	2.704200e-03
59	2	11	0	1.977422e-01	1.291000e-04	4.175500e-04	8.752150e-03	3.854050e-03	9.694150e-03	1.018180e-02	6.197700e-03	2.673550e-03
60	2	12	0	1.955412e-01	1.282500e-04	4.202500e-04	8.650050e-03	3.766400e-03	9.544650e-03	1.002715e-02	6.065150e-03	2.643300e-03
61	2	13	0	1.933886e-01	1.254500e-04	4.128000e-04	8.554150e-03	3.683100e-03	9.406900e-03	9.873600e-03	5.938800e-03	2.617500e-03
62	2	14	0	1.913153e-01	1.219000e-04	3.999000e-04	8.463950e-03	3.603050e-03	9.278700e-03	9.727300e-03	5.818650e-03	2.592650e-03
63	2	15	0	1.892531e-01	1.198000e-04	3.937500e-04	8.371600e-03	3.520400e-03	9.145800e-03	9.590250e-03	5.697450e-03	2.561050e-03
64	2	16	0	1.872379e-01	1.189000e-04	3.932000e-04	8.280500e-03	3.440850e-03	9.013000e-03	9.462100e-03	5.579100e-03	2.530250e-03
65	2	17	0	1.852843e-01	1.180000e-04	3.932000e-04	8.194700e-03	3.371350e-03	8.887700e-03	9.336650e-03	5.467850e-03	2.510850e-03
66	2	18	0	1.834026e-01	1.169500e-04	3.912000e-04	8.113500e-03	3.310900e-03	8.771500e-03	9.212200e-03	5.365000e-03	2.496950e-03
67	2	19	0	1.815283e-01	1.160000e-04	3.846500e-04	8.031400e-03	3.251350e-03	8.659650e-03	9.083050e-03	5.266050e-03	2.475800e-03
68	2	20	0	1.796969e-01	1.169500e-04	3.770500e-04	7.948700e-03	3.189850e-03	8.551500e-03	8.956800e-03	5.170250e-03	2.450200e-03
69	2	21	0	1.779088e-01	1.214500e-04	3.739500e-04	7.865700e-03	3.122200e-03	8.442600e-03	8.841400e-03	5.073100e-03	2.426700e-03
70	2	22	0	1.761919e-01	1.255000e-04	3.729000e-04	7.789900e-03	3.054950e-03	8.337700e-03	8.734850e-03	4.976300e-03	2.404500e-03
71	2	23	0	1.744883e-01	1.223000e-04	3.680000e-04	7.726800e-03	2.997250e-03	8.238250e-03	8.624450e-03	4.879550e-03	2.379950e-03
72	3	0	0	2.255347e-01	1.128000e-04	4.971500e-04	1.000710e-02	5.256600e-03	1.175175e-02	1.229640e-02	8.065300e-03	3.016900e-03
73	3	1	0	2.227436e-01	1.178500e-04	4.778500e-04	9.871150e-03	5.083300e-03	1.151780e-02	1.206090e-02	7.855350e-03	2.988100e-03
74	3	2	0	2.199756e-01	1.198500e-04	4.713500e-04	9.744300e-03	4.924800e-03	1.129140e-02	1.183725e-02	7.654100e-03	2.958300e-03
75	3	3	0	2.172879e-01	1.198500e-04	4.741000e-04	9.628650e-03	4.779700e-03	1.107855e-02	1.162800e-02	7.469100e-03	2.923750e-03
76	3	4	0	2.146527e-01	1.257500e-04	4.635500e-04	9.508700e-03	4.635400e-03	1.088275e-02	1.142425e-02	7.294550e-03	2.885950e-03
77	3	5	0	2.120713e-01	1.324000e-04	4.499000e-04	9.390800e-03	4.497250e-03	1.069560e-02	1.122770e-02	7.123500e-03	2.851000e-03
78	3	6	0	2.095512e-01	1.343000e-04	4.447000e-04	9.280150e-03	4.373900e-03	1.050980e-02	1.104005e-02	6.953050e-03	2.821950e-03
79	3	7	0	2.070807e-01	1.336000e-04	4.432500e-04	9.168150e-03	4.267450e-03	1.032835e-02	1.085630e-02	6.791000e-03	2.791650e-03
80	3	8	0	2.046604e-01	1.318500e-04	4.396000e-04	9.057150e-03	4.167850e-03	1.015610e-02	1.067680e-02	6.636600e-03	2.760500e-03
81	3	9	0	2.022936e-01	1.304000e-04	4.289000e-04	8.953600e-03	4.060400e-03	9.997100e-03	1.050435e-02	6.484650e-03	2.731900e-03
82	3	10	0	2.000057e-01	1.295000e-04	4.180500e-04	8.854950e-03	3.952350e-03	9.847500e-03	1.034110e-02	6.338450e-03	2.704200e-03
83	3	11	0	1.977422e-01	1.291000e-04	4.175500e-04	8.752150e-03	3.854050e-03	9.694150e-03	1.018180e-02	6.197700e-03	2.673550e-03
84	3	12	0	1.955412e-01	1.282500e-04	4.202500e-04	8.650050e-03	3.766400e-03	9.544650e-03	1.002715e-02	6.065150e-03	2.643300e-03
85	3	13	0	1.933886e-01	1.254500e-04	4.128000e-04	8.554150e-03	3.683100e-03	9.406900e-03	9.873600e-03	5.938800e-03	2.617500e-03
86	3	14	0	1.913153e-01	1.219000e-04	3.999000e-04	8.463950e-03	3.603050e-03	9.278700e-03	9.727300e-03	5.818650e-03	2.592650e-03
87	3	15	0	1.892531e-01	1.198000e-04	3.937500e-04	8.371600e-03	3.520400e-03	9.145800e-03	9.590250e-03	5.697450e-03	2.561050e-03
88	3	16	0	1.872379e-01	1.189000e-04	3.932000e-04	8.280500e-03	3.440850e-03	9.013000e-03	9.462100e-03	5.579100e-03	2.530250e-03
89	3	17	0	1.852843e-01	1.180000e-04	3.932000e-04	8.194700e-03	3.371350e-03	8.887700e-03	9.336650e-03	5.467850e-03	2.510850e-03
90	3	18	0	1.834026e-01	1.169500e-04	3.912000e-04	8.113500e-03	3.310900e-03	8.771500e-03	9.212200e-03	5.365000e-03	2.496950e-03
91	3	19	0	1.815283e-01	1.160000e-04	3.846500e-04	8.031400e-03	3.251350e-03	8.659650e-03	9.083050e-03	5.266050e-03	2.475800e-03
92	3	20	0	1.796969e-01	1.169500e-04	3.770500e-04	7.948700e-03	3.189850e-03	8.551500e-03	8.956800e-03	5.170250e-03	2.450200e-03
93	3	21	0	1.779088e-01	1.214500e-04	3.739500e-04	7.865700e-03	3.122200e-03	8.442600e-03	8.841400e-03	5.073100e-03	2.426700e-03
94	3	22	0	1.761919e-01	1.255000e-04	3.729000e-04	7.789900e-03	3.054950e-03	8.337700e-03	8.734850e-03	4.976300e-03	2.404500e-03
95	3	23	0	1.744883e-01	1.223000e-04	3.680000e-04	7.726800e-03	2.997250e-03	8.238250e-03	8.624450e-03	4.879550e-03	2.379950e-03
96	4	0	0	2.255347e-01	1.128000e-04	4.971500e-04	1.000710e-02	5.256600e-03	1.175175e-02	1.229640e-02	8.065300e-03	3.016900e-03
97	4	1	0	2.227436e-01	1.178500e-04	4.778500e-04	9.871150e-03	5.083300e-03	1.151780e-02	1.206090e-02	7.855350e-03	2.988100e-03
98	4	2	0	2.199756e-01	1.198500e-04	4.713500e-04	9.744300e-03	4.924800e-03	1.129140e-02	1.183725e-02	7.654100e-03	2.958300e-03
99	4	3	0	2.172879e-01	1.198500e-04	4.741000e-04	9.628650e-03	4.779700e-03	1.107855e-02	1.162800e-02	7.469100e-03	2.923750e-03
100	4	4	0	2.146527e-01	1.257500e-04	4.635500e-04	9.508700e-03	4.635400e-03	1.088275e-02	1.142425e-02	7.294550e-03	2.885950e-03
101	4	5	0	2.120713e-01	1.324000e-04	4.499000e-04	9.390800e-03	4.497250e-03	1.069560e-02	1.122770e-02	7.123500e-03	2.851000e-03
102	4	6	0	2.095512e-01	1.343000e-04	4.447000e-04	9.280150e-03	4.373900e-03	1.050980e-02	1.104005e-02	6.953050e-03	2.821950e-03
103	4	7	0	2.070807e-01	1.336000e-04	4.432500e-04	9.168150e-03	4.267450e-03	1.032835e-02	1.085630e-02	6.791000e-03	2.791650e-03
104	4	8	0	2.046604e-01	1.318500e-04	4.396000e-04	9.057150e-03	4.167850e-03	1.015610e-02	1.067680e-02	6.636600e-03	2.760500e-03
105	4	9	0	2.022936e-01	1.304000e-04	4.289000e-04	8.953600e-03	4.060400e-03	9.997100e-03	1.050435e-02	6.484650e-03	2.731900e-03
106	4	10	0	2.000057e-01	1.295000e-04	4.180500e-04	8.854950e-03	3.952350e-03	9.847500e-03	1.034110e-02	6.338450e-03	2.704200e-03
107	4	11	0	1.977422e-01	1.291000e-04	4.175500e-04	8.752150e-03	3.854050e-03	9.694150e-03	1.018180e-02	6.197700e-03	2.673550e-03
108	4	12	0	1.955412e-01	1.282500e-04	4.202500e-04	8.650050e-03	3.766400e-03	9.544650e-03	1.002715e-02	6.065150e-03	2.643300e-03
109	4	13	0	1.933886e-01	1.254500e-04	4.128000e-04	8.554150e-03	3.683100e-03	9.406900e-03	9.873600e-03	5.938800e-03	2.617500e-03
110	4	14	0	1.913153e-01	1.219000e-04	3.999000e-04	8.463950e-03	3.603050e-03	9.278700e-03	9.727300e-03	5.818650e-03	2.592650e-03
111	4	15	0	1.892531e-01	1.198000e-04	3.937500e-04	8.371600e-03	3.520400e-03	9.145800e-03	9.590250e-03	5.697450e-03	2.561050e-03
112	4	16	0	1.872379e-01	1.189000e-04	3.932000e-04	8.280500e-03	3.440850e-03	9.013000e-03	9.462100e-03	5.579100e-03	2.530250e-03
113	4	17	0	1.852843e-01	1.180000e-04	3.932000e-04	8.194700e-03	3.371350e-03	8.887700e-03	9.336650e-03	5.467850e-03	2.510850e-03
114	4	18	0	1.834026e-01	1.169500e-04	3.912000e-04	8.113500e-03	3.310900e-03	8.771500e-03	9.212200e-03	5.365000e-03	2.496950e-03
115	4	19	0	1.815283e-01	1.160000e-04	3.846500e-04	8.031400e-03	3.251350e-03	8.659650e-03	9.083050e-03	5.266050e-03	2.475800e-03
116	4	20	0	1.796969e-01	1.169500e-04	3.770500e-04	7.948700e-03	3.189850e-03	8.551500e-03	8.956800e-03	5.170250e-03	2.450200e-03
117	4	21	0	1.779088e-01	1.214500e-04	3.739500e-04	7.865700e-03	3.122200e-03	8.442600e-03	8.841400e-03	5.073100e-03	2.426700e-03
118	4	22	0	1.761919e-01	1.255000e-04	3.729000e-04	7.789900e-03	3.054950e-03	8.337700e-03	8.734850e-03	4.976300e-03	2.404500e-03
119	4	23	0	1.744883e-01	1.223000e-04	3.680000e-04	7.726800e-03	2.997250e-03	8.238250e-03	8.624450e-03	4.879550e-03	2.379950e-03
120	5	0	0	2.255347e-01	1.128000e-04	4.971500e-04	1.000710e-02	5.256600e-03	1.175175e-02	1.229640e-02	8.065300e-03	3.016900e-03
121	5	1	0	2.227436e-01	1.178500e-04	4.778500e-04	9.871150e-03	5.083300e-03	1.151780e-02	1.206090e-02	7.855350e-03	2.988100e-03
122	5	2	0	2.199756e-01	1.198500e-04	4.713500e-04	9.744300e-03	4.924800e-03	1.129140e-02	1.183725e-02	7.654100e-03	2.958300e-03
123	5	3	0	2.172879e-01	1.198500e-04	4.741000e-04	9.628650e-03	4.779700e-03	1.107855e-02	1.162800e-02	7.469100e-03	2.923750e-03
124	5	4	0	2.146527e-01	1.257500e-04	4.635500e-04	9.508700e-03	4.635400e-03	1.088275e-02	1.142425e-02	7.294550e-03	2.885950e-03
125	5	5	0	2.120713e-01	1.324000e-04	4.499000e-04	9.390800e-03	4.497250e-03	1.069560e-02	1.122770e-02	7.123500e-03	2.851000e-03
126	5	6	0	2.095512e-01	1.343000e-04	4.447000e-04	9.280150e-03	4.373900e-03	1.050980e-02	1.104005e-02	6.953050e-03	2.821950e-03
127	5	7	0	2.070807e-01	1.336000e-04	4.432500e-04	9.168150e-03	4.267450e-03	1.032835e-02	1.085630e-02	6.791000e-03	2.791650e-03
128	5	8	0	2.046604e-01	1.318500e-04	4.396000e-04	9.057150e-03	4.167850e-03	1.015610e-02	1.067680e-02	6.636600e-03	2.760500e-03
129	5	9	0	2.022936e-01	1.304000e-04	4.289000e-04	8.953600e-03	4.060400e-03	9.997100e-03	1.050435e-02	6.484650e-03	2.731900e-03
130	5	10	0	2.000057e-01	1.295000e-04	4.180500e-04	8.854950e-03	3.952350e-03	9.847500e-03	1.034110e-02	6.338450e-03	2.704200e-03
131	5	11	0	1.977422e-01	1.291000e-04	4.175500e-04	8.752150e-03	3.854050e-03	9.694150e-03	1.018180e-02	6.197700e-03	2.673550e-03
132	5	12	0	1.955412e-01	1.282500e-04	4.202500e-04	8.650050e-03	3.766400e-03	9.544650e-03	1.002715e-02	6.065150e-03	2.643300e-03
133	5	13	0	1.933886e-01	1.254500e-04	4.128000e-04	8.554150e-03	3.683100e-03	9.406900e-03	9.873600e-03	5.938800e-03	2.617500e-03
134	5	14	0	1.913153e-01	1.219000e-04	3.999000e-04	8.463950e-03	3.603050e-03	9.278700e-03	9.727300e-03	5.818650e-03	2.592650e-03
135	5	15	0	1.892531e-01	1.198000e-04	3.937500e-04	8.371600e-03	3.520400e-03	9.145800e-03	9.590250e-03	5.697450e-03	2.561050e-03
136	5	16	0	1.872379e-01	1.189000e-04	3.932000e-04	8.280500e-03	3.440850e-03	9.013000e-03	9.462100e-03	5.579100e-03	2.530250e-03
137	5	17	0	1.852843e-01	1.180000e-04	3.932000e-04	8.194700e-03	3.371350e-03	8.887700e-03	9.336650e-03	5.467850e-03	2.510850e-03
138	5	18	0	1.834026e-01	1.169500e-04	3.912000e-04	8.113500e-03	3.310900e-03	8.771500e-03	9.212200e-03	5.365000e-03	2.496950e-03
139	5	19	0	1.815283e-01	1.160000e-04	3.846500e-04	8.031400e-03	3.251350e-03	8.659650e-03	9.083050e-03	5.266050e-03	2.475800e-03
140	5	20	0	1.796969e-01	1.169500e-04	3.770500e-04	7.948700e-03	3.189850e-03	8.551500e-03	8.956800e-03	5.170250e-03	2.450200e-03
141	5	21	0	1.779088e-01	1.214500e-04	3.739500e-04	7.865700e-03	3.122200e-03	8.442600e-03	8.841400e-03	5.073100e-03	2.426700e-03
142	5	22	0	1.761919e-01	1.255000e-04	3.729000e-04	7.789900e-03	3.054950e-03	8.337700e-03	8.734850e-03	4.976300e-03	2.404500e-03
143	5	23	0	1.744883e-01	1.223000e-04	3.680000e-04	7.726800e-03	2.997250e-03	8.238250e-03	8.624450e-03	4.879550e-03	2.379950e-03
144	6	0	0	2.255347e-01	1.128000e-04	4.971500e-04	1.000710e-02	5.256600e-03	1.175175e-02	1.229640e-02	8.065300e-03	3.016900e-03
145	6	1	0	2.227436e-01	1.178500e-04	4.778500e-04	9.871150e-03	5.083300e-03	1.151780e-02	1.206090e-02	7.855350e-03	2.988100e-03
146	6	2	0	2.199756e-01	1.198500e-04	4.713500e-04	9.744300e-03	4.924800e-03	1.129140e-02	1.183725e-02	7.654100e-03	2.958300e-03
147	6	3	0	2.172879e-01	1.198500e-04	4.741000e-04	9.628650e-03	4.779700e-03	1.107855e-02	1.162800e-02	7.469100e-03	2.923750e-03
148	6	4	0	2.146527e-01	1.257500e-04	4.635500e-04	9.508700e-03	4.635400e-03	1.088275e-02	1.142425e-02	7.294550e-03	2.885950e-03
149	6	5	0	2.120713e-01	1.324000e-04	4.499000e-04	9.390800e-03	4.497250e-03	1.069560e-02	1.122770e-02	7.123500e-03	2.851000e-03
150	6	6	0	2.095512e-01	1.343000e-04	4.447000e-04	9.280150e-03	4.373900e-03	1.050980e-02	1.104005e-02	6.953050e-03	2.821950e-03
151	6	7	0	2.070807e-01	1.336000e-04	4.432500e-04	9.168150e-03	4.267450e-03	1.032835e-02	1.085630e-02	6.791000e-03	2.791650e-03
152	6	8	0	2.046604e-01	1.318500e-04	4.396000e-04	9.057150e-03	4.167850e-03	1.015610e-02	1.067680e-02	6.636600e-03	2.760500e-03
153	6	9	0	2.022936e-01	1.304000e-04	4.289000e-04	8.953600e-03	4.060400e-03	9.997100e-03	1.050435e-02	6.484650e-03	2.731900e-03
154	6	10	0	2.000057e-01	1.295000e-04	4.180500e-04	8.854950e-03	3.952350e-03	9.847500e-03	1.034110e-02	6.338450e-03	2.704200e-03
155	6	11	0	1.977422e-01	1.291000e-04	4.175500e-04	8.752150e-03	3.854050e-03	9.694150e-03	1.018180e-02	6.197700e-03	2.673550e-03
156	6	12	0	1.955412e-01	1.282500e-04	4.202500e-04	8.650050e-03	3.766400e-03	9.544650e-03	1.002715e-02	6.065150e-03	2.643300e-03
157	6	13	0	1.933886e-01	1.254500e-04	4.128000e-04	8.554150e-03	3.683100e-03	9.406900e-03	9.873600e-03	5.938800e-03	2.617500e-03
158	6	14	0	1.913153e-01	1.219000e-04	3.999000e-04	8.463950e-03	3.603050e-03	9.278700e-03	9.727300e-03	5.818650e-03	2.592650e-03
159	6	15	0	1.892531e-01	1.198000e-04	3.937500e-04	8.371600e-03	3.520400e-03	9.145800e-03	9.590250e-03	5.697450e-03	2.561050e-03
160	6	16	0	1.872379e-01	1.189000e-04	3.932000e-04	8.280500e-03	3.440850e-03	9.013000e-03	9.462100e-03	5.579100e-03	2.530250e-03
161	6	17	0	1.852843e-01	1.180000e-04	3.932000e-04	8.194700e-03	3.371350e-03	8.887700e-03	9.336650e-03	5.467850e-03	2.510850e-03
162	6	18	0	1.834026e-01	1.169500e-04	3.912000e-04	8.113500e-03	3.310900e-03	8.771500e-03	9.212200e-03	5.365000e-03	2.496950e-03
163	6	19	0	1.815283e-01	1.160000e-04	3.846500e-04	8.031400e-03	3.251350e-03	8.659650e-03	9.083050e-03	5.266050e-03	2.475800e-03
164	6	20	0	1.796969e-01	1.169500e-04	3.770500e-04	7.948700e-03	3.189850e-03	8.551500e-03	8.956800e-03	5.170250e-03	2.450200e-03
165	6	21	0	1.779088e-01	1.214500e-04	3.739500e-04	7.865700e-03	3.122200e-03	8.442600e-03	8.841400e-03	5.073100e-03	2.426700e-03
166	6	22	0	1.761919e-01	1.255000e-04	3.729000e-04	7.789900e-03	3.054950e-03	8.337700e-03	8.734850e-03	4.976300e-03	2.404500e-03
167	6	23	0	1.744883e-01	1.223000e-04	3.680000e-04	7.726800e-03	2.997250e-03	8.238250e-03	8.624450e-03	4.879550e-03	2.379950e-03
168	7	0	0	2.255347e-01	1.128000e-04	4.971500e-04	1.000710e-02	5.256600e-03	1.175175e-02	1.229640e-02	8.065300e-03	3.016900e-03
169	7	1	0	2.227436e-01	1.178500e-04	4.778500e-04	9.871150e-03	5.083300e-03	1.151780e-02	1.206090e-02	7.855350e-03	2.988100e-03
170	7	2	0	2.199756e-01	1.198500e-04	4.713500e-04	9.744300e-03	4.924800e-03	1.129140e-02	1.183725e-02	7.654100e-03	2.958300e-03
171	7	3	0	2.172879e-01	1.198500e-04	4.741000e-04	9.628650e-03	4.779700e-03	1.107855e-02	1.162800e-02	7.469100e-03	2.923750e-03
